batch,handle,platform,name,niche,followers_approx,followers_observed,followers_source,profile_url,discovery_source,identity_check,identity_method,content_fit,content_fit_evidence,reach_floor,engagement_observed,activity_check,purchase_intent,exclusions_check,decision,notes,check_date,selector
14,@karenendique,tiktok,Karen Endique,Travel itineraries,13K,13000,TikTok profile/video page observed 2026-09-17 (exact count),https://www.tiktok.com/@karenendique,original batch14 worker candidate list (2026-09-17),pass,"TikTok profile displays full name 'Karen Endique'; solo individual creator, no couple/brand signals",pass,Video 7542331047359368456 (2025-08-25) presents a day-by-day travel itinerary format,pass,"Search-index snapshot 2026-09-17 of creator-owned TikTok posts: photo post 7542331047359368456 (itinerary format) 253 likes, 14 comments (crawled ~210 days ago); Bangkok 5D4N itinerary video 1,153 likes, 42 comments (crawled ~160 days ago)",unknown,present,pass,include,Itinerary destination and stops not visible in captured material; extraction left empty rather than invented. Worker noted purchase signals on profile.,2026-09-17,batch14-worker
14,@outdoorswithlau,tiktok,Laura,Outdoor adventure / van life,14.5K,14500,TikTok profile/video page observed 2026-09-17 (exact count),https://www.tiktok.com/@outdoorswithlau,original batch14 worker candidate list (2026-09-17),pass,TikTok profile identifies solo creator 'Laura'; handle and content are first-person outdoor travel,pass,Video 7607885107382275350 (2026-02-17): three-week Portugal van trip,pass,"Video page observed 2026-09-17: 630,800 plays, 27,300 likes, 70 comments, 10,200 shares, 15,048 saves",pass,unknown,pass,include,Mononym identity; individual confirmed by solo first-person content. No numeric budget visible in source.,2026-09-17,batch14-worker
14,@marianawengorovius,tiktok,Mariana Wengorovius,Japan travel,465.3K,465300,TikTok profile/video page observed 2026-09-17 (exact count),https://www.tiktok.com/@marianawengorovius,original batch14 worker candidate list (2026-09-17),pass,TikTok profile displays full name 'Mariana Wengorovius'; solo individual creator,pass,"Video 7620460271911390496 (2026-03-23): Japan night-by-night route (Tokyo 5, Kamakura 3, Lake Yamanakako 2, Lake Kawaguchiko 2, Osaka 3, Nara 1, Kyoto 4)",pass,"Video page observed 2026-09-17: 146,200 plays, 33,000 likes, 58 comments, 1,666 shares, 6,582 saves",pass,unknown,pass,include,Caption says 'one month' but listed nights total 20; days set to null with explanation rather than forced.,2026-09-17,batch14-worker
14,@ioviaggiosola45,tiktok,Rossella Santosuosso,Solo travel / China,175K,175000,TikTok profile/video page observed 2026-09-17 (exact count),https://www.tiktok.com/@ioviaggiosola45,original batch14 worker candidate list (2026-09-17),pass,TikTok profile displays full name 'Rossella Santosuosso'; solo female traveler ('ioviaggiosola' = I travel alone),pass,"Video 7622308775302630679 (2026-03-28): variable China route (Beijing 3, Xi'an 1-3, Chengdu 2, Chongqing 2, Zhangjiajie 2, Fenghuang or Furong 1, Guilin 2, Yangshuo 2, Hong Kong 2 or Shanghai 2-5)",pass,"Video page observed 2026-09-17: 102,000 plays, 6,736 likes, 124 comments, 1,347 shares, 5,129 saves",pass,unknown,pass,include,Route has variable/alternative stops; days left null rather than forced.,2026-09-17,batch14-worker
14,@helloshayne_,tiktok,Shayne,Vietnam travel,156.8K,156800,TikTok profile/video page observed 2026-09-17 (exact count),https://www.tiktok.com/@helloshayne_,original batch14 worker candidate list (2026-09-17),pass,TikTok profile identifies solo creator 'Shayne'; first-person Vietnam travel content,pass,"Video 7543960475990592769 (2025-08-29): five days in Da Nang/Hoi An (beaches, ancient temples, Marble Mountains, Hoi An)",pass,"Video page observed 2026-09-17: 307,900 plays, 10,900 likes, 250 comments, 8,008 shares, 8,090 saves",unknown,unknown,pass,include,Mononym identity; individual confirmed by solo first-person content. Latest dated content 2025-08-29.,2026-09-17,batch14-worker
14,@jvwanderer,tiktok,JV,Vietnam travel,58.4K,58400,TikTok profile/video page observed 2026-09-17 (exact count),https://www.tiktok.com/@jvwanderer,original batch14 worker candidate list (2026-09-17),pass,TikTok profile identifies solo creator 'JV'; first-person Vietnam travel content,pass,Video 7613120581881318677 (2026-03-03): five days in Da Nang/Hoi An; no named stops visible in captured caption,pass,"Video page observed 2026-09-17: 46,500 plays, 1,515 likes, 31 comments, 722 shares, 1,828 saves",pass,unknown,pass,include,Moniker identity; no named stops visible so itinerary carries no items rather than invented ones.,2026-09-17,batch14-worker
14,@markodea8,tiktok,Mark Odea,China travel,1.2M,1200000,TikTok profile/video page observed 2026-09-17 (exact count),https://www.tiktok.com/@markodea8,original batch14 worker candidate list (2026-09-17),pass,TikTok profile displays full name 'Mark Odea'; solo individual creator,pass,"Video 7599983438338379029 (2026-01-27): Chongqing guide (Liziba Station, Chaotianmen Square Saturday drone show, Deyi World, Kuixinglou Building, Iseya Hotel, WWII Bomb Shelter Hot Pot)",pass,"Video page observed 2026-09-17: 218,000 plays, 4,503 likes, 20 comments, 1,060 shares, 1,760 saves",pass,unknown,pass,include,No generic price attached to Iseya Hotel; none stated in source.,2026-09-17,batch14-worker
14,@himemet,tiktok,Mommy Mika,Family travel / China,143.3K,143300,TikTok profile/video page observed 2026-09-17 (exact count),https://www.tiktok.com/@himemet,original batch14 worker candidate list (2026-09-17),pass,TikTok profile identifies family-travel creator 'Mommy Mika'; first-person family trip content,pass,"Video 7626729068020485384 (2026-04-09): Chengdu Day 1 (KUL to Tianfu, Hazens Hotel, dinner near Huancheng Mosque, Kuanzhai Alley, SKP Bamboo Forest, DiDi legs, return via Jincheng Square Line 18 to Line 2 to Tianfu Square)",pass,"Video page observed 2026-09-17: 90,200 plays, 3,576 likes, 111 comments, 1,350 shares, 3,312 saves",pass,unknown,pass,include,Persona name; individual family creator confirmed by first-person content.,2026-09-17,batch14-worker
14,@_travelcuriosity_,tiktok,Isabel Mule,Italy travel,72.6K,72600,TikTok profile/video page observed 2026-09-17 (exact count),https://www.tiktok.com/@_travelcuriosity_,original batch14 worker candidate list (2026-09-17),pass,TikTok profile identifies creator 'Isabel Mule'; solo individual travel content,pass,"Video 7648666157196610849 (2026-06-07): two-day Abruzzo route (Lago di Capo d'Acqua, Valle del Tirino, Capestrano/Castello Piccolomini, Gran Sasso Via Normale, Campo Imperatore, Rifugio Duca degli Abruzzi, restaurants)",pass,"Video page observed 2026-09-17: 370,300 plays, 23,900 likes, 56 comments, 8,613 shares, 17,621 saves",pass,unknown,pass,include,"Source states EUR price ranges at restaurants; exact figures not captured, so no price_hint values invented.",2026-09-17,batch14-worker
14,@travelwithtolu,tiktok,Tolu,Korea travel,20K,20000,TikTok profile/video page observed 2026-09-17 (exact count),https://www.tiktok.com/@travelwithtolu,original batch14 worker candidate list (2026-09-17),pass,"TikTok profile 'Tolu | Travel & Lifestyle', London-based; solo individual creator (bio: 'a bit of everything but mostly travel')",pass,"Video 7638480524952079638 opened 2026-09-17 (create_time 2026-05-11): five-day Seoul day-by-day caption; 25,200 likes, 35 comments, 3,906 shares, 15,971 saves",pass,"25,200 likes / 35 comments / 3,906 shares / 15,971 saves on video page opened 2026-09-17",pass,unknown,pass,include,Mononym identity; full day-by-day captured verbatim from video caption on page open.,2026-09-17,batch14-worker
