batch,handle,platform,name,niche,followers_approx,followers_observed,followers_source,profile_url,discovery_source,identity_check,identity_method,content_fit,content_fit_evidence,reach_floor,engagement_observed,activity_check,purchase_intent,exclusions_check,decision,notes,check_date,selector
6,@uktravel,tiktok,Aytan Abbasli,uk-travel,708.4K,"708,400 followers",TikTok video page JSON (fetched 2026-09-16),https://www.tiktok.com/@uktravel,prior browser-PASS carryover + urlebird profile mirror 2026-09-16,pass,"Urlebird profile shows individual creator 'Travelling in UK'; IG @aytanabbasli (250K) cross-ref; browser verdict 2026-09-16 PASS (Aytan Abbasli, individual)",pass,"Urlebird: Wales Day 1 (2026-09-04), Wales Day 2 (2026-09-07), Day 3 itinerary (2026-09-11), five-day Wales road trip (2026-09-14)",pass,unknown,pass,unknown,pass,include,Prior browser-PASS preserved. Structured Wales series verified via Urlebird slugs/dates. Activity latest 2026-09-16.,2026-09-16,stage1-worker
6,@nikitabathia,tiktok,Nikita,luxury-travel,68K,"68,000 followers",TikTok video page JSON (fetched 2026-09-16),https://www.tiktok.com/@nikitabathia,prior browser-PASS carryover + urlebird profile mirror 2026-09-16,pass,"Urlebird profile: 'Nikita | Luxury travel creator', London based travel & fashion creator",pass,Urlebird: Abu Dhabi travel guide + Day 1 itinerary posts (2026-07-07/08),pass,unknown,pass,unknown,pass,include,Prior browser-PASS preserved. Luxury hotel/travel guide content verified. Activity latest 2026-07-30.,2026-09-16,stage1-worker
6,@sandymakessense,tiktok,Sandy,travel-london,224.3K,"224,300 followers",TikTok video page JSON (fetched 2026-09-16),https://www.tiktok.com/@sandymakessense,prior browser-PASS carryover + urlebird profile mirror 2026-09-16,pass,"Urlebird profile: 'Sandy - Travel Stories & London', London based individual",pass,Urlebird: Palermo food guide (2026-08-05) plus other multi-stop destination guides,pass,unknown,pass,unknown,pass,include,Prior browser-PASS preserved. Multi-stop food/destination guides verified. Activity latest 2026-08-05.,2026-09-16,stage1-worker
6,@juliatraveltips,tiktok,Julia,itineraries-maps,21.8K,"21,800 followers",TikTok video page JSON (fetched 2026-09-16),https://www.tiktok.com/@juliatraveltips,prior browser-PASS carryover + urlebird profile mirror 2026-09-16,pass,"Urlebird profile: 'Julia | Travel', bio 'Itineraries & Maps below'; browser verdict 2026-09-16 PASS (Julia, itinerary/map creator, individual)",pass,Account positioned as itinerary/map creator (bio: Itineraries & Maps below); browser verdict 2026-09-16 content PASS,pass,unknown,pass,unknown,pass,include,Prior browser-PASS preserved. Itinerary/map creator positioning verified via bio. Activity latest 2026-08-26.,2026-09-16,stage1-worker
6,@thegingerwanderlust,tiktok,Ellie,uk-travel-blogger,113.5K,"113,500 followers",TikTok video page JSON (fetched 2026-09-16),https://www.tiktok.com/@thegingerwanderlust,prior browser-PASS carryover + creator-owned blog 2026-09-16,pass,"Creator-owned blog thegingerwanderlust.com; browser verdict 2026-09-16 PASS (Ellie, UK travel blogger, individual)",pass,"Creator-owned: Ultimate Norway road trip itinerary near Bergen, datePublished 2024-10-03; headings include Day 1 Bergen->Trolltunga and Day 2 Trolltunga hike",pass,unknown,pass,unknown,pass,include,Prior browser-PASS preserved. Norway day-by-day itinerary verified with published date. Activity latest ~2026-09-13.,2026-09-16,stage1-worker
6,@polkadotpassport,tiktok,Nicola,london-food-travel,236.1K,"236,100 followers",TikTok video page JSON (fetched 2026-09-16),https://www.tiktok.com/@polkadotpassport,prior browser-PASS carryover + urlebird profile mirror 2026-09-16,pass,"Urlebird profile: 'Nicola | Polkadot Passport', travel & food creator in London, UK; browser verdict 2026-09-16 PASS (Nicola, individual)",pass,"Browser verdict 2026-09-16 content PASS (travel & food guides, London-based creator)",pass,unknown,pass,unknown,pass,include,Prior browser-PASS preserved. Activity latest 2026-09-14.,2026-09-16,stage1-worker
6,@CandaceAbroad,tiktok,Candace,uk-europe-travel,93.4K,"93,400 followers",TikTok video page JSON (fetched 2026-09-16),https://www.tiktok.com/@CandaceAbroad,prior browser-PASS carryover + urlebird profile mirror 2026-09-16,pass,"Urlebird profile: 'Candace | London/UK & Europe', London/UK & Europe travel creator; browser verdict 2026-09-16 PASS (Candace, individual)",pass,Urlebird: exact structured post save my exact 3-day Kuala Lumpur itinerary (2026-08-02),pass,unknown,pass,unknown,pass,include,Prior browser-PASS preserved. Exact 3-day KL itinerary verified with Urlebird date. Activity latest 2026-09-13.,2026-09-16,stage1-worker
6,@nospaceinmypassport,tiktok,Anna,london-travel-blogger,127.9K,"127,900 followers",TikTok video page JSON (fetched 2026-09-16),https://www.tiktok.com/@nospaceinmypassport,prior browser-PASS carryover + urlebird profile mirror 2026-09-16,pass,"Urlebird profile: 'Anna | London Travel Blogger', London blogger; browser verdict 2026-09-16 PASS (Anna, individual)",pass,Urlebird: perfect-day Menorca guide (2026-08-24),pass,unknown,pass,unknown,pass,include,Prior browser-PASS preserved. Menorca day-guide verified with Urlebird date. Activity latest 2026-09-10.,2026-09-16,stage1-worker
6,@wawawandering__,tiktok,wawawandering,sweden-travel,28.7K,"28,700 followers",browser verdict 2026-09-16 (third-party),https://www.tiktok.com/@wawawandering__,prior browser-PASS carryover + airial.travel attribution 2026-09-16,pass,"Browser verdict 2026-09-16 PASS (Malay woman in Sweden, individual)",pass,"Own TikTok guide video 'Part 1. Things to do in Stockholm, Sweden - Planning a trip to Stockholm? Let me be your local guide!' https://www.tiktok.com/@wawawandering__/video/7506991838360767752 (TikTok oEmbed confirms authorship and guide content); publication 2025-05-21 via video-ID timestamp decode (id>>32, deterministic, re-verifiable).",pass,unknown,pass,unknown,pass,include,Prior browser-PASS preserved per instruction. Content-fit evidence is third-party attribution (Airial); exact original post URL/date not independently resolved. Confidence: medium. Activity latest ~2026-09-04. | Evidence strengthened 2026-09-16: own Stockholm guide video found via web search + oEmbed (replaces third-party Airial attribution).,2026-09-16,stage1-worker
6,@abdulwanders,tiktok,Abdul,luxury-travel,69.2K,"69,200 followers",TikTok video page JSON (fetched 2026-09-16),https://www.tiktok.com/@abdulwanders,prior browser-PASS carryover + urlebird profile mirror 2026-09-16,pass,"Urlebird profile: 'Abdulwanders - Luxury Travel Content Creator'; browser verdict 2026-09-16 PASS (Abdul, individual)",pass,Browser verdict 2026-09-16 content PASS (luxury travel guides),pass,unknown,pass,unknown,pass,include,Prior browser-PASS preserved. Activity latest 2026-09-16.,2026-09-16,stage1-worker
6,@thecuriouspixie,tiktok,Sima,travel-london,232.3K,"232,300 followers",TikTok video page JSON (fetched 2026-09-16),https://www.tiktok.com/@thecuriouspixie,prior browser-PASS carryover + creator-owned blog 2026-09-16,pass,"Urlebird profile: 'Curious Pixie - Travel Creator', Travel + London, TikTok London Ambassador; contact sima@thecuriouspixie.co.uk",pass,"Creator-owned: Colombia travel guide with detailed Day 1-14 itinerary; published 2022-05-26, modified 2026-02-17 (verified via page metadata 2026-09-16)",pass,unknown,pass,unknown,pass,include,Prior browser-PASS preserved. Uses verified modified date 2026-02-17 (>=2024-09-16 gate). Activity latest 2026-09-15.,2026-09-16,stage1-worker
6,@makisantos_,tiktok,maki,travel-lifestyle-food,170.3K,"170,300 followers",TikTok video page JSON (fetched 2026-09-16),https://www.tiktok.com/@makisantos_,prior browser-PASS carryover + urlebird profile mirror 2026-09-16,pass,"Urlebird profile: 'maki | travel & lifestyle', Travel Lifestyle & Food individual",pass,Urlebird: 24 hours in Phu Quoc itinerary + 2 days in Phu Quoc (both 2026-09-02),pass,unknown,pass,unknown,pass,include,Prior browser-PASS preserved. Phu Quoc itineraries verified with Urlebird dates. Activity latest 2026-09-14.,2026-09-16,stage1-worker
