batch,handle,platform,name,niche,followers_approx,followers_observed,followers_source,profile_url,discovery_source,identity_check,identity_method,content_fit,content_fit_evidence,reach_floor,engagement_observed,activity_check,purchase_intent,exclusions_check,decision,notes,check_date,selector
11,@thescenicpassport,tiktok,Lauren,adventure,10900,10900,TikTok profile card 2026-09-17,https://www.tiktok.com/@thescenicpassport,Direct TikTok profile verification,pass,Named individual: 'Lauren | Travel • Adventure' on TikTok profile,pass,7-day Iceland Ring Road itinerary video with day-by-day stops; outdoor/adventure content,pass,"TikTok video 7528975870283877646 (7-day Iceland Ring Road itinerary): 32,500 plays, 1,940 likes, 16 comments, 1,650 shares, 1,237 saves (tiktok.com/@thescenicpassport/video/7528975870283877646, observed 2026-09-17)",pass,Itinerary guide content; travel planning resources,pass,include,7-day Iceland Ring Road itinerary verified via TikTok video; day-by-day with specific stops,2026-09-17,batch13-worker
11,@katieosheaaway,tiktok,Katie O'Shea,california road trip,16400,16400,TikTok profile card 2026-09-17,https://www.tiktok.com/@katieosheaaway,Direct TikTok profile verification,pass,Named individual: Katie O'Shea on TikTok profile,pass,California national-parks road trip video with day-by-day: Sequoia Kings Canyon Yosemite; published 2025-08-08,pass,"TikTok video 7536275089478651167 (California national-parks road trip, 2025-08-08): 174,300 plays, 4,890 likes, 54 comments, 3,211 shares, 2,593 saves (tiktok.com/@katieosheaaway/video/7536275089478651167, observed 2026-09-17)",pass,Itinerary guide content; no booking links,pass,include,California road trip itinerary verified via TikTok video 7536275089478651167; 2025-08-08,2026-09-17,batch11-topup
11,@alynnavalbuena,tiktok,Alynna,bali travel,51400,51400,TikTok profile card 2026-09-17,https://www.tiktok.com/@alynnavalbuena,Direct TikTok profile verification,pass,Named individual: Alynna on TikTok profile,pass,Seven-day DIY Bali itinerary video; published 2025-07-07,pass,"TikTok video 7524199296187632903 (7-day DIY Bali itinerary, 2025-07-07): 56,500 plays, 3,922 likes, 78 comments, 627 shares, 1,259 saves (tiktok.com/@alynnavalbuena/video/7524199296187632903, observed 2026-09-17)",pass,Itinerary guide content; no booking links,pass,include,7-day Bali itinerary verified via TikTok video 7524199296187632903; 2025-07-07,2026-09-17,batch11-topup
11,@chloeconortravels,tiktok,Chloe,europe city breaks,14800,14800,TikTok profile card 2026-09-17,https://www.tiktok.com/@chloeconortravels,Direct TikTok profile verification,pass,Named individual: Chloe on TikTok profile,pass,Prague day itinerary video; published 2026-01-11,pass,"TikTok video 7594054954680126742 (Prague day itinerary, 2026-01-11): 49,100 plays, 2,411 likes, 31 comments, 406 shares, 1,765 saves (tiktok.com/@chloeconortravels/video/7594054954680126742, observed 2026-09-17)",pass,Itinerary guide content; no booking links,pass,include,Prague day itinerary verified via TikTok video 7594054954680126742; 2026-01-11,2026-09-17,batch11-topup
11,@explorinwithnic,tiktok,Nicole,new zealand travel,39500,39500,TikTok profile card 2026-09-17,https://www.tiktok.com/@explorinwithnic,Direct TikTok profile verification,pass,Named individual: Nicole on TikTok profile,pass,South Island New Zealand route video; published 2026-02-17,pass,"TikTok video 7607945794917879062 (NZ South Island route, 2026-02-17): 1,300,000 plays, 133,500 likes, 236 comments, 27,500 shares, 51,421 saves (tiktok.com/@explorinwithnic/video/7607945794917879062, observed 2026-09-17)",pass,Itinerary guide content; no booking links,pass,include,NZ South Island route verified via TikTok video 7607945794917879062; 2026-02-17,2026-09-17,batch11-topup
11,@lucyinthesskyy,tiktok,Lucy,greek islands,14700,14700,TikTok profile card 2026-09-17,https://www.tiktok.com/@lucyinthesskyy,Direct TikTok profile verification,pass,One-person pseudonym: Lucy on TikTok profile,pass,Greek-island guide video; published 2026-03-02,pass,"TikTok video 7612631506153999638 (Greek-island guide, 2026-03-02): 1,000,000 plays, 50,200 likes, 195 comments, 9,536 shares, 18,137 saves (tiktok.com/@lucyinthesskyy/video/7612631506153999638, observed 2026-09-17)",pass,Itinerary guide content; no booking links,pass,include,Greek-island guide verified via TikTok video 7612631506153999638; 2026-03-02,2026-09-17,batch11-topup
11,@_cocoylim,tiktok,cocoy,taiwan travel,155600,155600,TikTok profile card 2026-09-17,https://www.tiktok.com/@_cocoylim,Direct TikTok profile verification,pass,One-person pseudonym: cocoy on TikTok profile,pass,Ten Taiwan day-trip ideas video; published 2026-03-15,pass,"TikTok video 7617345387824778503 (Taiwan day-trip ideas, 2026-03-15): 727,100 plays, 39,700 likes, 418 comments, 11,500 shares, 22,594 saves (tiktok.com/@_cocoylim/video/7617345387824778503, observed 2026-09-17)",pass,Itinerary guide content; no booking links,pass,include,Taiwan day-trip ideas verified via TikTok video 7617345387824778503; 2026-03-15,2026-09-17,batch11-topup
11,@sarah.rh.bashir,tiktok,Sarah Bashir,morocco travel,22100,22100,TikTok profile card 2026-09-17,https://www.tiktok.com/@sarah.rh.bashir,Direct TikTok profile verification,pass,Named individual: Sarah Bashir on TikTok profile,pass,Three-day Morocco Imperial Cities video; published 2026-04-29,pass,"TikTok video 7634256652715298055 (Morocco Imperial Cities, 2026-04-29): 36,400 plays, 1,703 likes, 36 comments, 327 shares, 1,122 saves (tiktok.com/@sarah.rh.bashir/video/7634256652715298055, observed 2026-09-17)",pass,Itinerary guide content; no booking links,pass,include,Morocco Imperial Cities verified via TikTok video 7634256652715298055; 2026-04-29,2026-09-17,batch11-topup
11,@daniellestravelblog,tiktok,Danielle,italy travel,29500,29500,TikTok profile card 2026-09-17,https://www.tiktok.com/@daniellestravelblog,Direct TikTok profile verification,pass,Named individual: Danielle on TikTok profile,pass,Italy train route video Milan-Verona-Venice-Florence-Rome-Naples/Amalfi; published 2026-02-08,pass,"TikTok video 7604623136306253078 (Italy train route, 2026-02-08): 24,000 plays, 546 likes, 9 comments, 236 shares, 562 saves (tiktok.com/@daniellestravelblog/video/7604623136306253078, observed 2026-09-17)",pass,Itinerary guide content; no booking links,pass,include,Italy train route verified via TikTok video 7604623136306253078; 2026-02-08,2026-09-17,batch11-topup
11,@eralevich,tiktok,Erick Enriquez,switzerland travel,32700,32700,TikTok profile card 2026-09-17,https://www.tiktok.com/@eralevich,Direct TikTok profile verification,pass,Named individual: Erick Enriquez on TikTok profile,pass,Eight-day Switzerland video: Zurich Zermatt Grindelwald Interlaken Spiez Blausee Oeschinen; published 2025-07-10,pass,"TikTok video 7525598971625000210 (8-day Switzerland itinerary, 2025-07-10): 849,800 plays, 41,700 likes, 422 comments, 12,000 shares, 15,799 saves (tiktok.com/@eralevich/video/7525598971625000210, observed 2026-09-17)",pass,Itinerary guide content; no booking links,pass,include,8-day Switzerland verified via TikTok video 7525598971625000210; 2025-07-10,2026-09-17,batch11-topup
11,@catchagypsea,tiktok,ieva,travel itineraries,496.2K,496200,"Collabstr (crawled ~2026-04-28, observed 2026-09-17)",https://www.tiktok.com/@catchagypsea,batch11 top-up research 2026-09-17,pass,"profile bio ""ieva - travel creator""; singular creator branding",pass,"Egypt multi-day itinerary video 7559954654868589835 published 2025-10-11: Giza 2d, Siwa 3d, Aswan 2d, Abu Simbel 1d, Luxor 3d, Marsa Alam 3d with named hotels/restaurants/activities",pass (496200 >= 10000),"TikTok video 7559954654868589835 (Egypt itinerary, 2025-10-11): 209,700 plays, 9,347 likes, 24 comments, 2,507 shares, 6,662 saves (tiktok.com/@catchagypsea/video/7559954654868589835, observed 2026-09-17)",pass,present,pass (no couple/brand/agency/planning-service signals; singular creator),include,"Reach via Collabstr named dated source; engagement via Collabstr (Egypt video now 9,347 likes / 209,700 plays verified 2026-09-17). Wave-3 enrichment 2026-09-17: full caption re-harvested; 18 named items mapped to segment day ranges (Giza d1-2, Siwa d3-5, Aswan d6-7, Abu Simbel d8, Luxor d9-11, Marsa Alam d12-14); Kato Dool corrected to hotel/Aswan (was activity/Siwa). Confidence high.",2026-09-17,batch11-topup
11,@nathsway,tiktok,Nathan Sawaya,australia road trips,134500,134500,"Angel Bay AU influencer roundup, updated ~2026-06-24",https://www.tiktok.com/@nathsway,Wave-3 top-up queue verification,pass,"Named individual: 'Nathan Sawaya' on TikTok display name; 'Travel Photographer based in Melbourne, Australia' on X/Twitter bio",pass,"14-day southwest Australia road-trip itinerary (TikTok photo 7595814757915954439, 2026-01-16) with structured route; 18-day Port Douglas-Sydney itinerary (photo 7608131467214048533, 2026-02-18); Brisbane long-weekend guide (video 7482726973807021319, 2025-03-17)",pass,"838 likes, 12 comments on 14-day itinerary post; 2305 likes, 19 comments on 18-day post; 13.6K likes, 81 comments on Brisbane guide",pass,Itinerary guide content; travel planning resources,pass,include,"14-day southwest Australia road-trip itinerary verified via TikTok photo post 2026-01-16; structured route with 14 named stops; no itinerary/product sales, planning, coaching, or hosted-trip selling found",2026-09-17,batch11-topup
11,@de_knees__,tiktok,Denise,asia travel itineraries,35800,35800,TikTok profile card 2026-09-17,https://www.tiktok.com/@de_knees__,Direct TikTok profile verification,pass,Named individual: 'Denise | Travels & Lifestyle' on TikTok profile,pass,"3D2N Beijing day-by-day itinerary video (Day 1: Grand Metropark Hotel, Taikooli Sanlitun, Yang Mei Zhu Xie Jie; Day 2: Great Wall of China, Still Water Cafe, cheongsam shopping; Day 3: Forbidden City, Peking duck); published 2026-05-11",pass,"Beijing 3D2N TikTok video: 29,800 plays; 669 likes; 7 comments; 526 shares; 671 saves (observed 2026-09-17)",pass,"Klook Kreator affiliate: captions direct followers to creator's Klook Kreator Shop (search DENISETANKLOOK) / promo code DENISEKLOOK for extra 5% off activities, stays, tickets, transport",pass,include,"Profile shows email only, no bio link; no TrovaTrip/WeTravel/personalized-planning or hosted group-trip services found; Taiwan 5-day trip (Feb 17-21, 2026) video confirms current 2026 travel posting",2026-09-17,tiktok-topup-worker
11,@trinarivasss,tiktok,Trina Rivas,Canyon Cove day-pass guide,67200,67200,TikTok profile search card crawled 2026-09-16 (close-out worker),https://www.tiktok.com/@trinarivasss,batch11 close-out worker lead; TikTok video page live-verified 2026-09-17,pass,"TikTok author 'Trina Rivas | Travel Creator'; bio 'giving tiny details of your travel'; Klook code TRINAKLOOK, Agoda code TRINA — individual creator",pass,"Canyon Cove Hotel & Spa day-pass guide, TikTok video 7615913058765933842 created 2026-03-11 (create_time 1773217946): full guide in own caption — day pass from ₱248 (pools, beach, sunset, fire dance show); paid activities (inflatable island ₱499/pax, jet ski, banana boat, dragon boat, kayak, paddle board); free activities (billiards, chess, table tennis, darts, kids playroom); restaurant, poolside bar, buffet ~₱800/pax; what to bring; restrictions",pass,"Video page 2026-09-17: 1.1M plays, 33.4K likes, 403 comments, 23.2K shares, 16,748 saves",pass,present - day-pass/activity pricing; Klook 5% off code TRINAKLOOK; Agoda code TRINA,pass - no trip-selling/planning/coaching/hosted-trip offers found,include,Video verified live 2026-09-17; high-confidence extraction; follower count per close-out worker 2026-09-16 crawl,2026-09-17,batch11-write
11,@adamrikys,tiktok,Adam Rikys,Cape Town top-10 guide,101400,101400,Heepsy 101.4K crawled ~43d before 2026-09-17; Feedspot 100.9K (close-out worker),https://www.tiktok.com/@adamrikys,batch11 close-out worker lead; TikTok video page live-verified 2026-09-17,pass,"TikTok author 'Adam Rikys'; bio 'Useful travel vids, side quests, giveaways'; Sydney photographer/travel creator — individual creator",pass,"Cape Town TOP 10 TikTok video 7547318284329225479 created 2025-09-07 (create_time 1757246976): 'full TOP 10 list to screenshot' — Bo-Kaap, Kirstenbosch, Stellenbosch and Franschhoek, Lion's Head, MOCAA, Chapman's Peak Drive, Boulders Beach, Hout Bay Seal Swim, Cape Point Nature Reserve, Cape Town Helicopters",pass,"Video page 2026-09-17: 113,100 plays, 2,603 likes, 54 comments, 1,658 shares, 2,616 saves",pass,present - sponsored with @roar_africa ('Start planning your own Cape Town adventure'),pass — PROVISIONAL PASS per parent adjudication 2026-09-17 (SELECTION_CRITERIA.md §7): sponsored content for an operator does not make him one; founded Bucket Vision (business) noted; no evidence he operates consumer trips,include,§7 provisional PASS written with adjudication note; video verified live 2026-09-17,2026-09-17,batch11-write
11,@biancainmelbourne,tiktok,Bianca,Sydney first-timer bucket list,168600,168600,Feedspot 168.6K (close-out worker),https://www.tiktok.com/@biancainmelbourne,batch11 close-out worker lead; TikTok video page live-verified 2026-09-17,pass,"TikTok author 'Bianca in Melbourne'; bio ""hi! I'm @bianca — things to do, stories & people in melbourne""; biancainmelbourne.com/hello — individual creator",pass,"Sydney first-timer bucket list, TikTok video 7511630127042743559 created 2025-06-03 (create_time 1748937682): 8 named activities — sunrise kayaking (Sydney By Kayak), BridgeClimb Sydney Harbour Bridge, Bondi to Coogee walk, Carriageworks Farmers Market (Saturdays), Observatory Hill sunset / Aster Bar drinks, Vivid Sydney festival, high tea at Shangri-La Sydney, Soak Bathhouse",pass,"Video page 2026-09-17: 408,100 plays, 16,600 likes, 42 comments, 4,321 shares, 15,057 saves",pass,present - marked 'ad' (sponsored); operator tags throughout,pass - sponsored individual content is acceptable; no trip-selling/planning/coaching/hosted-trip offers found,include,Video verified live 2026-09-17; marked ad — sponsored individual content acceptable per worker adjudication,2026-09-17,batch11-write
