name,handle,platform,niche,followers_approx,profile_url,source_urls
Jessica Carpenter,@jessica_traveler,instagram,adventure travel & van life,79.5K,https://www.instagram.com/jessica_traveler/,https://www.myfeetwillleadme.com/where-to-go-in-corsica-a-two-week-itinerary/
Marissa Strang,@marissa.daily,instagram,culture-first city guides,72.5K,https://www.instagram.com/marissa.daily/,https://themarissadaily.com/2025/08/19/7-day-san-francisco-itinerary-where-to-eat-explore-experience-the-city/
Chirasree Banerjee,@travelrealizations,instagram,California family travel,48.6K,https://www.instagram.com/travelrealizations/,https://www.travelrealizations.com/2-day-mount-shasta-itinerary/
Christine Wheeler,@liveloveruntravel,instagram,outdoor hiking travel,45.7K,https://www.instagram.com/liveloveruntravel/,https://liveloveruntravel.com/best-things-to-do-in-portsmouth-nh-day-trip/
Angie Orth,@angieaway,instagram,solo travel & US itineraries,70.6K,https://www.instagram.com/angieaway/,https://angieaway.com/2026/07/20/things-to-do-in-ridgeland-mississippi/
Rochelle Knight,@adventuresfromelle,instagram,Caribbean travel,17870,https://www.instagram.com/adventuresfromelle/,https://adventuresfromelle.com/2026/07/10/orlando-florida-itinerary/
Erick Prince,@minoritynomad,instagram,luxury city guides,31406,https://www.instagram.com/minoritynomad/,https://www.minoritynomad.com/blog/a-locals-bangkok-luxury-hotel-guide
Suzanne Jones,@thetravelbunny,instagram,50+ adventure travel,17149,https://www.instagram.com/thetravelbunny/,https://thetravelbunny.com/china-itinerary-sichuan/
Tomiko Harvey,@tomiko.harvey,instagram,Caribbean beach travel,23019,https://www.instagram.com/tomiko.harvey/,https://passportsandgrub.com/is-cancun-safe-cancun-travel-warning/
Tara,@wheretarawent,instagram,in-depth adventure itineraries,19579,https://www.instagram.com/wheretarawent/,https://wheretarawent.com/blog/albania-itinerary
Samantha Gross,@thereshegoesagn,instagram,travel,34886,https://www.instagram.com/thereshegoesagn/,https://thereshegoesagain.org/tenerife-itinerary/
Charlotte Simpson,@travelingblackwidow,instagram,solo travel (60+),27723,https://www.instagram.com/travelingblackwidow/,https://travelingblackwidow.com/perfect-itinerary-pensacola-vacation/
